Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,46.75,46.25,46.25,46.25,30481900.0,39.87961959838867
2019-01-03,47.0,45.25,46.5,45.5,53438400.0,39.23291778564453
2019-01-04,47.0,45.25,45.5,46.75,60708300.0,40.31074905395508
2019-01-07,48.75,47.25,47.25,48.0,86356300.0,41.388580322265625
2019-01-08,48.75,47.75,48.25,48.0,50671500.0,41.388580322265625
2019-01-09,49.25,48.0,49.25,48.25,61760500.0,41.60414505004883
2019-01-10,49.0,48.0,48.25,48.75,70224300.0,42.03527069091797
2019-01-11,49.25,48.75,48.75,49.25,46822700.0,42.466407775878906
2019-01-14,49.0,47.5,48.75,48.0,63594700.0,41.388580322265625
2019-01-15,48.5,47.5,48.25,47.75,42908000.0,41.173011779785156
2019-01-16,48.25,47.0,48.0,47.5,71303600.0,40.95744323730469
2019-01-17,48.0,47.25,47.25,47.25,53656000.0,40.74188232421875
2019-01-18,48.5,47.75,48.0,48.25,43114000.0,41.60414505004883
2019-01-21,49.0,48.5,48.5,48.75,40896500.0,42.03527069091797
2019-01-22,49.75,48.75,48.75,49.5,60630600.0,42.68197250366211
2019-01-23,50.0,49.25,49.5,49.5,97284200.0,42.68197250366211
2019-01-24,50.0,49.0,49.5,49.0,65759600.0,42.2508430480957
2019-01-25,49.25,48.25,49.0,48.75,68842000.0,42.03527069091797
2019-01-28,49.25,48.5,48.75,48.75,44516700.0,42.03527069091797
2019-01-29,48.75,47.25,48.5,48.25,82281100.0,41.60414505004883
2019-01-30,48.5,47.5,48.5,48.25,51236800.0,41.60414505004883
2019-01-31,49.25,48.5,48.5,48.5,61479100.0,41.81970977783203
2019-02-01,49.5,48.5,48.75,49.5,45486300.0,42.68197250366211
2019-02-04,49.75,49.25,49.75,49.25,42524900.0,42.466407775878906
2019-02-05,49.25,48.75,49.25,49.25,18570600.0,42.466407775878906
2019-02-06,49.25,48.75,49.25,48.75,30913700.0,42.03527069091797
2019-02-07,49.5,48.75,48.75,49.0,43047500.0,42.2508430480957
2019-02-08,49.0,48.5,48.75,48.5,52078500.0,41.81970977783203
2019-02-11,48.5,48.0,48.25,48.25,45073400.0,41.60414505004883
2019-02-12,48.5,48.0,48.25,48.5,25236800.0,41.81970977783203
2019-02-13,49.25,48.25,48.75,49.0,55507500.0,42.2508430480957
2019-02-14,49.25,48.25,49.0,48.25,66581400.0,41.60414505004883
2019-02-15,48.5,47.75,48.25,48.25,51281500.0,41.60414505004883
2019-02-18,48.75,48.25,48.5,48.5,38098300.0,41.81970977783203
2019-02-20,49.0,48.25,48.25,49.0,54250800.0,42.2508430480957
2019-02-21,49.25,48.75,49.0,48.75,39701600.0,42.03527069091797
2019-02-22,49.5,48.25,48.5,49.25,54555900.0,42.466407775878906
2019-02-25,50.0,49.25,49.5,49.75,66032200.0,42.89753723144531
2019-02-26,49.5,49.0,49.5,49.0,56262500.0,42.2508430480957
2019-02-27,49.5,48.75,49.0,49.25,36652900.0,42.466407775878906
2019-02-28,49.5,48.5,49.25,48.5,74772600.0,41.81970977783203
2019-03-01,48.75,48.25,48.5,48.75,50324500.0,42.03527069091797
2019-03-04,49.0,48.25,48.5,48.75,42714600.0,42.03527069091797
2019-03-05,49.0,48.5,48.5,48.75,40786100.0,42.03527069091797
2019-03-06,48.0,47.5,48.0,47.5,39502400.0,41.99107360839844
2019-03-07,48.0,47.25,47.5,47.75,45868600.0,42.21208190917969
2019-03-08,48.0,47.25,47.75,47.5,42416300.0,41.99107360839844
2019-03-11,48.0,47.25,47.5,47.25,34589700.0,41.77006912231445
